week,total,five,base_mean,base_std,z,poisson_p,fdr_sig
2019-08-19/2019-08-25,2,2,3.5833,6.8285,-0.2319,0.8727,False
2022-11-28/2022-12-04,12,9,12.5,4.7194,-0.7416,0.8751,False
2022-08-01/2022-08-07,19,11,14.9167,3.2602,-1.2014,0.8774,False
2019-04-29/2019-05-05,11,5,7.6667,2.9025,-0.9188,0.8796,False
2023-02-13/2023-02-19,18,7,10.1667,3.9734,-0.797,0.88,False
2022-09-19/2022-09-25,21,13,17.3333,3.7739,-1.1482,0.881,False
2024-06-10/2024-06-16,19,11,15.0,3.1909,-1.2536,0.8815,False
2022-12-12/2022-12-18,18,8,11.4167,4.1001,-0.8333,0.8817,False
2018-07-16/2018-07-22,9,4,6.4167,7.3788,-0.3275,0.8823,False
2024-07-08/2024-07-14,15,10,13.8333,3.7132,-1.0324,0.8825,False
2022-02-07/2022-02-13,25,17,22.0,6.9019,-0.7244,0.883,False
2019-05-06/2019-05-12,7,5,7.75,2.8002,-0.9821,0.8851,False
2020-03-30/2020-04-05,16,9,12.8333,3.6886,-1.0392,0.8924,False
2021-11-01/2021-11-07,33,18,23.4167,6.4309,-0.8423,0.8933,False
2019-11-11/2019-11-17,9,5,7.9167,3.6794,-0.7927,0.8955,False
2023-07-17/2023-07-23,26,18,23.5833,6.1564,-0.9069,0.8992,False
2025-05-19/2025-05-25,15,6,9.3333,3.2845,-1.0149,0.9031,False
2022-12-26/2023-01-01,19,7,10.6667,3.8925,-0.942,0.9066,False
2026-05-25/2026-05-31,19,6,9.4167,2.9064,-1.1756,0.9074,False
2020-04-27/2020-05-03,14,9,13.1667,4.6872,-0.8889,0.9076,False
2021-10-11/2021-10-17,32,19,25.0833,5.5014,-1.1058,0.9106,False
2023-01-30/2023-02-05,13,6,9.5,3.2891,-1.0641,0.9115,False
2023-12-04/2023-12-10,34,20,26.3333,18.4949,-0.3424,0.9134,False
2026-01-19/2026-01-25,13,6,9.5833,2.0652,-1.7351,0.9154,False
2020-11-30/2020-12-06,34,19,25.25,5.6589,-1.1045,0.9156,False
2021-10-25/2021-10-31,30,18,24.1667,6.2644,-0.9844,0.9179,False
2018-05-28/2018-06-03,7,5,8.3333,6.7868,-0.4911,0.9179,False
2018-12-03/2018-12-09,8,4,7.0,6.9019,-0.4347,0.9182,False
2024-02-26/2024-03-03,34,14,19.6667,6.4149,-0.8834,0.9243,False
2024-11-04/2024-11-10,17,6,9.8333,4.6677,-0.8212,0.9263,False
2026-03-23/2026-03-29,14,6,9.9167,2.4664,-1.588,0.9297,False
2025-12-15/2025-12-21,13,6,9.9167,2.0207,-1.9382,0.9297,False
2024-08-26/2024-09-01,15,6,9.9167,3.2039,-1.2225,0.9297,False
2024-06-24/2024-06-30,20,10,15.0,3.2474,-1.5397,0.9301,False
2021-07-19/2021-07-25,35,18,24.75,6.0321,-1.119,0.9336,False
2023-06-05/2023-06-11,35,24,32.0,9.7047,-0.8243,0.939,False
2025-02-03/2025-02-09,10,3,6.0833,3.704,-0.8324,0.9416,False
2025-10-20/2025-10-26,13,6,10.25,1.8647,-2.2791,0.9418,False
2021-03-08/2021-03-14,40,18,25.1667,8.4297,-0.8502,0.9432,False
